Unnamed: 0,Place,Relation Type,Context,Date,Sentence,Sentence_Text,Sentence_Text_Cleaned,Place_Text,Date_Text,slug,Notes,Place_Info,sentence_doc
0,['MASK_2'],political_office,"['Maximilianovich', 'was', 'politician', 'succeeded', 'as', 'leader', 'of']",[],[1]," [PERSON]Georgy Maximilianovich Malenkov[MASK_1] (8 January 1902 O.S. 26 December 1901 – 14 January 1988) was a Soviet politician who briefly succeeded Joseph Stalin as the leader of [GPE]the Soviet Union[MASK_2].
"," Georgy Maximilianovich Malenkov (8 January 1902 O.S. 26 December 1901 – 14 January 1988) was a Soviet politician who briefly succeeded Joseph Stalin as the leader of the Soviet Union.
",['the Soviet Union'],[],Georgy_Malenkov,,"[{'place_name': 'the Soviet Union', 'input_name': 'Soviet Union', 'lat': '60', 'lng': '98', 'gn_description': 'historical political entity'}]"," [PERSON]Georgy Maximilianovich Malenkov[MASK_1] (8 January 1902 O.S. 26 December 1901 – 14 January 1988) was a Soviet politician who briefly succeeded Joseph Stalin as the leader of [GPE]the Soviet Union[MASK_2].
"
1,"['MASK_3', 'MASK_4']",political_action,"['discredited', 'suppressed', 'glory', 'associated', 'with']",[],[9]," In order to secure his position as Stalin's favorite, [PERSON]he[MASK_1] successfully discredited Andrey Zhdanov's protegés (Alexey Kuznetsov and Nikolai Voznesensky) and Marshal Georgy Zhukov and suppressed all glory associated with [GPE]Leningrad[MASK_3] during World War II so that [GPE]Moscow[MASK_4] maintained its image as the Soviet Union's sole cultural and political capital.
"," In order to secure his position as Stalin's favorite, he successfully discredited Andrey Zhdanov's protegés (Alexey Kuznetsov and Nikolai Voznesensky) and Marshal Georgy Zhukov and suppressed all glory associated with Leningrad during World War II so that Moscow maintained its image as the Soviet Union's sole cultural and political capital.
","['Leningrad', 'Moscow']",[],Georgy_Malenkov,,"[{'place_name': 'Leningrad', 'input_name': 'Saint Petersburg', 'lat': '59.93863', 'lng': '30.31413', 'gn_description': 'first-order administrative division'}, {'place_name': 'Moscow', 'input_name': 'Moscow', 'lat': '55.75222', 'lng': '37.61556', 'gn_description': 'capital of a political entity'}]"," In order to secure his position as Stalin's favorite, [PERSON]he[MASK_1] successfully discredited Andrey Zhdanov's protegés (Alexey Kuznetsov and Nikolai Voznesensky) and Marshal Georgy Zhukov and suppressed all glory associated with [GPE]Leningrad[MASK_3] during World War II so that [GPE]Moscow[MASK_4] maintained its image as the Soviet Union's sole cultural and political capital.
"
2,['MASK_5'],travel,"['expelled', 'exiled', 'to']",['MASK_6'],[14]," After later organizing a failed palace coup against Khrushchev in 1957, [PERSON]Malenkov[MASK_1] was expelled from the Presidium and exiled to [GPE]the Kazakh SSR[MASK_5] in [DATE]1957[MASK_6], before ultimately being expelled from the Party altogether in November 1961.
"," After later organizing a failed palace coup against Khrushchev in 1957, Malenkov was expelled from the Presidium and exiled to the Kazakh SSR in 1957, before ultimately being expelled from the Party altogether in November 1961.
",['the Kazakh SSR'],['1957'],Georgy_Malenkov,,"[{'place_name': 'the Kazakh SSR', 'input_name': 'Kazakhstan', 'lat': '48', 'lng': '68', 'gn_description': 'independent political entity'}]"," After later organizing a failed palace coup against Khrushchev in 1957, [PERSON]Malenkov[MASK_1] was expelled from the Presidium and exiled to [GPE]the Kazakh SSR[MASK_5] in [DATE]1957[MASK_6], before ultimately being expelled from the Party altogether in November 1961.
"
3,"['MASK_7', 'MASK_4']",travel,"['After', 'sojourn', 'in', 'returned']",[],[16]," After a short sojourn in [GPE]Kazakhstan[MASK_7], [PERSON]he[MASK_1] returned to [GPE]Moscow[MASK_4] and kept a low profile for the remainder of his life.
"," After a short sojourn in Kazakhstan, he returned to Moscow and kept a low profile for the remainder of his life.
","['Kazakhstan', 'Moscow']",[],Georgy_Malenkov,,"[{'place_name': 'Kazakhstan', 'input_name': 'Kazakhstan', 'lat': '48', 'lng': '68', 'gn_description': 'independent political entity'}, {'place_name': 'Moscow', 'input_name': 'Moscow', 'lat': '55.75222', 'lng': '37.61556', 'gn_description': 'capital of a political entity'}]"," After a short sojourn in [GPE]Kazakhstan[MASK_7], [PERSON]he[MASK_1] returned to [GPE]Moscow[MASK_4] and kept a low profile for the remainder of his life.
"
4,['MASK_8'],birth_place,"['born', 'in']",['MASK_9'],[18],"[PERSON]Malenkov[MASK_1] was born in [GPE]Orenburg[MASK_8] in the Russian Empire  on [DATE]January 8, 1902[MASK_9].
","Malenkov was born in Orenburg in the Russian Empire  on January 8, 1902.
",['Orenburg'],"['January 8, 1902']",Georgy_Malenkov,,"[{'place_name': 'Orenburg', 'input_name': 'Orenburg', 'lat': 51.766666666667, 'lng': 55.1, 'gn_description': 'seat of a first-order administrative division'}]","[PERSON]Malenkov[MASK_1] was born in [GPE]Orenburg[MASK_8] in the Russian Empire  on [DATE]January 8, 1902[MASK_9].
"
5,['MASK_10'],education,"['graduated', 'from']",['MASK_11'],[24]," [PERSON]Malenkov[MASK_1] graduated from [GPE]Orenburg gymnasium[MASK_10]  just [DATE]a few months prior to the Russian Revolution of 1917[MASK_11].
"," Malenkov graduated from Orenburg gymnasium  just a few months prior to the Russian Revolution of 1917.
",['Orenburg gymnasium'],['a few months prior to the Russian Revolution of 1917'],Georgy_Malenkov,,"[{'place_name': 'Orenburg gymnasium', 'input_name': 'Orenburg', 'lat': 51.766666666667, 'lng': 55.1, 'gn_description': 'seat of a first-order administrative division'}]"," [PERSON]Malenkov[MASK_1] graduated from [GPE]Orenburg gymnasium[MASK_10]  just [DATE]a few months prior to the Russian Revolution of 1917[MASK_11].
"
6,['MASK_13'],personal_life,"['in', ',', 'started']",['MASK_12'],[26],"In [DATE]1920[MASK_12], in [GPE]Turkestan[MASK_13], [PERSON]Malenkov[MASK_1] started living together with Soviet scientist Valeriya Golubtsova (15 May 1901 – 1 October 1987), daughter of Aleksei Golubtsov, former State Councilor of the Russian Empire in Nizhny Novgorod and dean of the Imperial Cadet School.
","In 1920, in Turkestan, Malenkov started living together with Soviet scientist Valeriya Golubtsova (15 May 1901 – 1 October 1987), daughter of Aleksei Golubtsov, former State Councilor of the Russian Empire in Nizhny Novgorod and dean of the Imperial Cadet School.
",['Turkestan'],['1920'],Georgy_Malenkov,,"[{'place_name': 'Turkestan', 'input_name': 'Turkestan', 'lat': '43.29733', 'lng': '68.25175', 'gn_description': 'seat of a first-order administrative division'}]","In [DATE]1920[MASK_12], in [GPE]Turkestan[MASK_13], [PERSON]Malenkov[MASK_1] started living together with Soviet scientist Valeriya Golubtsova (15 May 1901 – 1 October 1987), daughter of Aleksei Golubtsov, former State Councilor of the Russian Empire in Nizhny Novgorod and dean of the Imperial Cadet School.
"
7,['MASK_13'],political_office,"['joined', 'worked', 'as', 'commissar', 'on', 'train', 'in']",[],[33]," [PERSON]He[MASK_1] joined the Communist Party of the Soviet Union (CPSU) in 1920 and worked as a political commissar on a propaganda train in [GPE]Turkestan[MASK_13] during the Civil War.
"," He joined the Communist Party of the Soviet Union (CPSU) in 1920 and worked as a political commissar on a propaganda train in Turkestan during the Civil War.
",['Turkestan'],[],Georgy_Malenkov,,"[{'place_name': 'Turkestan', 'input_name': 'Turkestan', 'lat': '43.29733', 'lng': '68.25175', 'gn_description': 'seat of a first-order administrative division'}]"," [PERSON]He[MASK_1] joined the Communist Party of the Soviet Union (CPSU) in 1920 and worked as a political commissar on a propaganda train in [GPE]Turkestan[MASK_13] during the Civil War.
"
8,['MASK_14'],political_office,"['promoted', 'appointed', 'secretary', 'at']",['MASK_15'],[37]," [PERSON]He[MASK_1] was promoted in the Communist party ranks and was appointed Communist secretary at the military-based [LOC]Moscow Higher Technical School[MASK_14] in [DATE]the 1920s[MASK_15].
"," He was promoted in the Communist party ranks and was appointed Communist secretary at the military-based Moscow Higher Technical School in the 1920s.
",['Moscow Higher Technical School'],['the 1920s'],Georgy_Malenkov,,"[{'place_name': 'Moscow Higher Technical School', 'input_name': 'Moscow Higher Technical School', 'lat': '55.765833', 'lng': '37.684722', 'gn_description': 'university'}]"," [PERSON]He[MASK_1] was promoted in the Communist party ranks and was appointed Communist secretary at the military-based [LOC]Moscow Higher Technical School[MASK_14] in [DATE]the 1920s[MASK_15].
"
9,['MASK_2'],political_office,"['held', 'membership', 'made']",['MASK_16'],[52]," This small group held total control over all the political and economic life in the country and [PERSON]Malenkov[MASK_1]'s membership thus made him one of the top five most powerful men in [GPE]the Soviet Union[MASK_2] [DATE]during World War II[MASK_16].
"," This small group held total control over all the political and economic life in the country and Malenkov's membership thus made him one of the top five most powerful men in the Soviet Union during World War II.
",['the Soviet Union'],['during World War II'],Georgy_Malenkov,,"[{'place_name': 'the Soviet Union', 'input_name': 'Soviet Union', 'lat': '60', 'lng': '98', 'gn_description': 'historical political entity'}]"," This small group held total control over all the political and economic life in the country and [PERSON]Malenkov[MASK_1]'s membership thus made him one of the top five most powerful men in [GPE]the Soviet Union[MASK_2] [DATE]during World War II[MASK_16].
"
